text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,created_at,in_reply_to_user_id,author_id,id
@avalancheavax is dope!,0,0,0,0,1437873790013218816,2021-09-14T20:20:00.000Z,1055894724245155841,903631322836373505,1437873790013218816
"@rares_gh @Coin98Analytics @avalancheavax @dfinity @NEARProtocol @FantomFDN @ElrondNetwork @Algorand @Polkadot @0xPolygon @terra_money @solana Make another partner! $eGLD ! 
$HAKA ?!? 👇 https://t.co/8bWNkMoPPj",0,0,1,0,1437784586642202636,2021-09-14T20:19:44.000Z,1380203971432828931,1250317271869734912,1437873722963206155
@Coin98Analytics @avalancheavax @dfinity @NEARProtocol @FantomFDN @ElrondNetwork @Algorand @Polkadot @0xPolygon @terra_money @solana Not trying to be funny but why is SOLANA on this list???,0,0,2,0,1437784586642202636,2021-09-14T20:19:33.000Z,1282956858664185856,1381006099793448961,1437873675500494848
@oceanavekid @avalancheavax early adopters didn't start yet.,0,1,0,0,1437855635194875904,2021-09-14T20:19:03.000Z,55914327,17093305,1437873551214776330
"@oceanavekid @avalancheavax see https://t.co/NisOTgskKW

you are not late friend.",0,0,0,0,1437855635194875904,2021-09-14T20:18:42.000Z,55914327,17093305,1437873462668898307
"@jawny254 @solana @awscloud @CurveFinance @SushiSwap @BoredApeYC @monero @optimismPBC @arbitrum @avalancheavax @xdaichain @FantomFDN Because I am tired of people pretending that:
a fancy db = blockchain",0,1,0,0,1437862092342800388,2021-09-14T20:18:37.000Z,1390560965440282624,1389320951389634566,1437873439830953985
@yesil @avalancheavax That ended 5/31 I missed both. https://t.co/NEm9ti7HIg,0,2,0,0,1437855635194875904,2021-09-14T20:18:07.000Z,17093305,55914327,1437873317071888385
"Sell your $SOL to the devil and then come join us on @avalancheavax.
Our community is funner over here anyways. 😎 $AVAX",6,5,55,1,1437872992642605058,2021-09-14T20:16:50.000Z,,1102988455922098177,1437872992642605058
"@oceanavekid @avalancheavax it was for the trusted ceremony. this one is for the early adopters of sherpa by depositing 10, 100 or 500 avax in order to increase anonymity.",0,1,1,0,1437855635194875904,2021-09-14T20:16:36.000Z,55914327,17093305,1437872934295592965
@Coin98Analytics @avalancheavax @dfinity @NEARProtocol @FantomFDN @ElrondNetwork @Algorand @Polkadot @0xPolygon @terra_money @solana It's clear to see 👀 Elrond are in a different league $EGLD 🔥,0,0,11,0,1437784586642202636,2021-09-14T20:15:18.000Z,1282956858664185856,941778474141827072,1437872606066184195
@yesil @avalancheavax Says 5/13/21 it ended just hasn’t dropped yet,0,1,0,0,1437855635194875904,2021-09-14T20:15:04.000Z,17093305,55914327,1437872549526786048
"$AURORA is now listed on @CoinMarketCap 📈

You can view #ArcticFinance here: https://t.co/4Xi1tjwGQr

#AVAX @avalancheavax @traderjoe_xyz https://t.co/wvAgUxwBAm",18,10,26,0,1437872546037256198,2021-09-14T20:15:04.000Z,,1437571727224152067,1437872546037256198
"@Coin98Analytics @avalancheavax @dfinity @NEARProtocol @FantomFDN @ElrondNetwork @Algorand @Polkadot @0xPolygon @terra_money @solana Where do you get your data about @0xPolygon ?
Stop sh*t posting, thank you !",0,0,5,0,1437784586642202636,2021-09-14T20:14:58.000Z,1282956858664185856,3176246512,1437872522788233217
@CelerNetwork @ONTOWallet @FantomFDN @arbitrum @optimismPBC @avalancheavax @ethereum To the moon fomo to 3 dollar,0,0,6,0,1437845033219072000,2021-09-14T20:14:38.000Z,969093664348631040,1366622900313329666,1437872440412147716
@Xebulon @AviGavin @Che_brujo @AureliusBTC @avalancheavax I know the tokenomics. I haven’t looked to see if I’ve gotten any rewards. Do you think it’s a “meme” token or will they find a use for it. Think any more airdrops will come from holding it?,0,1,0,0,1437634088324812802,2021-09-14T20:14:00.000Z,1315754167,55914327,1437872278465744896
@ankr @avalancheavax Ankr is the next Algorand.,0,0,2,0,1437853658469715978,2021-09-14T20:13:48.000Z,1010430329218371584,996503521775276032,1437872229480554497
"@Coin98Analytics @avalancheavax @dfinity @NEARProtocol @FantomFDN @ElrondNetwork @Algorand @Polkadot @0xPolygon @terra_money @solana EGLD - ELROND, best strategy and best tech! EGLD FOREVER 🚀🚀🚀🚀🚀🚀🚀",0,0,0,0,1437784586642202636,2021-09-14T20:13:02.000Z,1282956858664185856,1358499912078553090,1437872037524082691
@oceanavekid @avalancheavax i don't think so. it didn't happen yet.,0,1,0,0,1437855635194875904,2021-09-14T20:12:40.000Z,55914327,17093305,1437871943177445380
@AviGavin @oceanavekid @Che_brujo @AureliusBTC @avalancheavax Its a reflective token - 1% of sells and buys go back to holders.,0,1,2,0,1437634088324812802,2021-09-14T20:11:45.000Z,259291812,1315754167,1437871713472110594
@Coin98Analytics @avalancheavax @dfinity @NEARProtocol @FantomFDN @ElrondNetwork @Algorand @Polkadot @0xPolygon @terra_money @solana Do we still include @solana? I heard that is an offline chain right now :),0,5,45,1,1437784586642202636,2021-09-14T20:09:58.000Z,1282956858664185856,1315673060385722374,1437871263767216133
"@defitimes @solana_daily @solana @avalancheavax @avalanche_dach @Polkadot Mentioning Ada but no bnb, ok.",0,0,1,0,1437772031660105730,2021-09-14T20:09:03.000Z,919800944,1346107964038537217,1437871033982373890
Thanks for sharing such a exciting news!!  AVXL TO THE MOON 💯 @AvaXlauncher @avalancheavax @ashwsbreal @pangolindex @traderjoe_xyz https://t.co/gVwIg78VOX,0,0,0,0,1437870546599952389,2021-09-14T20:07:07.000Z,,169483291,1437870546599952389
"@AriDavidPaul @avalancheavax Been here since a long time..saw legitimacy of BTC &amp; ETH early and some dead-chains early as well. SOL may have an Alameda effect, and the best tech may not have its day..but @AriDavidPaul is right. Some real stuff is happening there.

https://t.co/q0lfeX0Ue9",0,0,0,0,1437790638729273345,2021-09-14T20:06:33.000Z,847882255540342784,930248530198974468,1437870405469937665
@defigrepe @solana @awscloud @CurveFinance @SushiSwap @BoredApeYC @monero @optimismPBC @arbitrum @avalancheavax @xdaichain @FantomFDN then why do you care what happens with solana? lol,0,1,0,0,1437862092342800388,2021-09-14T20:06:07.000Z,1389320951389634566,1390560965440282624,1437870294807502850
