author_id,text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,created_at,in_reply_to_user_id,conversation_id
1431454770011668480,"Comprehensive collection of @terra_money ecosystem, a must save for #LUNAtics . https://t.co/YejFGIUi7R",0,0,0,0,1448704194890792961,2021-10-14T17:36:10.000Z,,1448704194890792961
1405576626818015232,"@terra_money 
@valkyrie_money $VKR First Campaign.

10 $LUNA staked in #Terra Station and 50 VKR deposited.
Reward with 20 VRK.

https://t.co/7OqLlIxoD4

#LUNAtics",0,0,0,0,1448704185629745166,2021-10-14T17:36:08.000Z,1022028994772910086,1448704185629745166
1330618937680171008,@Meta4monky @TheMoonMidas @terra_money You want an explanation on collectables? You want a primer on the global art scene? You want me to break down the financial implications of tokenized real estate? You want to know about the future of digital identity? Get off twitter and educate yourself. Google is your friend.,0,1,0,0,1448704108727181315,2021-10-14T17:35:49.000Z,1221300155909070848,1448408430205677569
938567987606511618,@Jamesmgrover @terra_money Erc20 but you can use https://t.co/rDJm79LxR1 to transfer from coinbase to terra station,0,1,0,0,1448704011725512726,2021-10-14T17:35:26.000Z,1431974997640286209,1448685186623889411
1338047501497028613,@gemhost @thekwoonies @terra_money Wish me luck,0,0,0,0,1448703840434331677,2021-10-14T17:34:45.000Z,3306286357,1448249661593047048
1177177221200535552,"Powered by @SecretNetwork &amp; keyTango, https://t.co/4qU5gcDyre was designed to harness the full potential of stablecoin investment, generating unprecedented YIELD!🚀🚀🚀
Learn all about it here👉https://t.co/iKYjq9PUvP

@terra_money #Stablecoins #DeFi https://t.co/mi3mKY1Cvc",7,1,20,1,1448703649463554049,2021-10-14T17:34:00.000Z,,1448703649463554049
1444270167102394368,"@ErikVoorhees @terra_money @cosmos In the cosmos, things are about to get quite stunning. Therfore get your digital identities secured with @cheqd_io. They are building a private and secure SSI digital credentials network.",0,0,0,0,1448703459130155039,2021-10-14T17:33:14.000Z,61417559,1448694789302460417
1004397878968766464,"Welcome bro

#LUNAtics #TerraAutumn 
$UST $LUNA @terra_money https://t.co/z4JfiSvH68",0,0,1,0,1448703402091950080,2021-10-14T17:33:01.000Z,,1448703402091950080
103534877,@TheMoonCarl For market price right now I will choose @terra_money,0,0,0,0,1448702876872814593,2021-10-14T17:30:56.000Z,978732571738755072,1448700377713418257
866504963878338560,"@gemhost @thekwoonies @terra_money Manifesting Big Win
Done, and thank you so much :) https://t.co/B7i0QNtSrk",0,0,0,0,1448702794429440031,2021-10-14T17:30:36.000Z,3306286357,1448249661593047048
