text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,in_reply_to_user_id,conversation_id,author_id,created_at,id
"@Cephii1  @Shigeo808 @hutchonthego I know you guys are more into the $LUNA &amp; the ecosystem it self, but dont be sleeping on these #LunaNFTs and whats happening in the @terra_money space atm.... My two cents anyways 🙅‍♀️ #NFT

@IcedOutBulls @wagmimonkeez",0,1,2,0,1355366118119108612,1482051239273803784,1479101261798461444,2022-01-14T18:05:25.000Z,1482051239273803784
@seb3point0 @stablekwon @terra_money What are his thoughts on the anchor yield reserve running dry in an extremely rapid pace,0,0,1,0,15306082,1481696773697589248,896398398433185792,2022-01-14T18:05:01.000Z,1482051137910026246
"@TaschaLabs @terra_money Ok fair, then I guess it's fair to give Cardano a shout, they've been doing ISO (Initial Stake Offerings) for the past few months, people stake to partner pools and receive dual rewards",0,1,3,0,1078389030,1482045826461540354,69378065,2022-01-14T18:02:44.000Z,1482050563986575361
"@TheAmazinCrypto @moonmuggle @NEARProtocol @auroraisnear @terra_money It’s crazy the original msg got hidden, is Near scared of comp?",0,1,1,0,1369065276692660231,1482014046945562628,2757621713,2022-01-14T18:02:44.000Z,1482050563403657220
"@Cephii1 @seb3point0 @stablekwon @terra_money @vertex_protocol yep, very interesting question",0,0,0,0,1355366118119108612,1481696773697589248,779139264483299328,2022-01-14T18:02:38.000Z,1482050538283970561
"@jack_zampolin @terra_money @kava_platform @Umee_CrossChain I think with the recent deprecation of Cosmos Ledger on Terra Station, I'm a bit more excited to borrow against IBC assets on Kava",1,0,1,0,82412279,1481998567262670850,1262659657014919169,2022-01-14T18:02:00.000Z,1482050382264209412
"@JayJaboneta @Atlo_Protocol @prism_protocol @FanfuryOfficial @Lunaverse_io @mars_protocol @Levana_protocol @spar_protocol @nebula_protocol @riskharbor @ProtocolVoid Hey Jay! Thanks for the mention, as always! The future is bright for Terra. 

We're the 1st #PlaytoEarn #NFT #TradingCardGame on @terra_money 

We'll launch an Alpha version in February!
If you want to know more about us, please join us on Discord.  

https://t.co/WN1mm0Nbtg",0,1,3,0,9532092,1482023217804251136,1436690979378040839,2022-01-14T18:01:06.000Z,1482050153792028677
@CryptoDiffer @VitalikButerin @cz_binance @SBF_FTX @AlamedaResearch @solana @avalancheavax @avalabsofficial @DogecoinRide @Polkadot @terra_money Doge ATH 0.7403,0,0,0,0,963815487481303040,1481664759737069576,273152537,2022-01-14T18:00:35.000Z,1482050023030505477
"@LearnTHORChain @terra_money Every coin has a purpose. Stable are fiat-like. If someone needs censorship resistance should hold bitcoin (maybe pooled on thochain), if needs privacy any privacy coin. IMHO it's an hodler fault.",0,0,4,0,1456354717416583169,1481853222826381315,150428624,2022-01-14T17:59:06.000Z,1482049648604942337
@joaosilvestr @terra_money not the same. those are fiats. not helping bootstrap liquidity of projects on platform,0,2,4,0,69378065,1482045826461540354,1078389030,2022-01-14T17:58:55.000Z,1482049604677947397
"Or, join the vibrant community of @terra_money analysts with our four new #Terra bounties. Plus, you can earn 7.52 $LUNA.

https://t.co/KBe5k5bhcO https://t.co/1YjOTfXhhG",0,1,1,1,925712018937712640,1482049445701300227,925712018937712640,2022-01-14T17:58:24.000Z,1482049473895350277
